Year,Month,Day,Y
2001,12,21,0.007398116
2001,12,24,0.003120969
2001,12,25,0
2001,12,26,0.00464412
2001,12,27,0.005765465
2001,12,28,-0.000990363
2001,12,31,-0.001067643
2002,1,1,0
2002,1,2,0.008055367
2002,1,3,-0.003221958
2002,1,4,-0.004642675
2002,1,7,0.002019548
2002,1,8,0.009018971
2002,1,9,7.54E-05
2002,1,10,0.000565664
2002,1,11,-0.00464792
2002,1,14,-0.002882721
2002,1,15,-0.002624424
2002,1,16,0.004559798
2002,1,17,0.001477469
2002,1,18,0.005248167
2002,1,21,-0.001243477
2002,1,22,0.011806955
2002,1,23,-0.000857393
2002,1,24,0.002235137
2002,1,25,3.72E-05
2002,1,28,-0.008332292
2002,1,29,0.001949172
2002,1,30,-0.003939746
2002,1,31,0.005847751
2002,2,1,0.000784592
2002,2,4,-0.006782736
2002,2,5,0.006483916
2002,2,6,-0.001981939
2002,2,7,0.000224568
2002,2,8,0.00912704
2002,2,11,-0.008865108
2002,2,12,-0.005740781
2002,2,13,0.001504042
2002,2,14,-0.005765225
2002,2,15,0.00264181
2002,2,18,-0.000603227
2002,2,19,0.007514312
2002,2,20,0.002056575
2002,2,21,0.004063304
2002,2,22,-0.005408947
2002,2,25,0.001308289
2002,2,26,0.00361691
2002,2,27,0.001599197
2002,2,28,-0.005402901
2002,3,1,-0.004606146
2002,3,4,-0.008821923
2002,3,5,0.000832734
2002,3,6,-0.00912207
2002,3,7,-0.027444582
2002,3,8,0.005401187
2002,3,11,-0.001210772
2002,3,12,0.006388802
2002,3,13,0.005692064
2002,3,14,-0.005381457
2002,3,15,0.001977856
2002,3,18,0.017664912
2002,3,19,0.003154397
2002,3,20,-0.001975084
2002,3,21,0.004135608
2002,3,22,0.006303216
2002,3,25,0.003230535
2002,3,26,-0.004020975
2002,3,27,-0.000791065
2002,3,28,-0.001093453
2002,3,29,0
2002,4,1,0.006955046
2002,4,2,-0.001162072
2002,4,3,-0.005038741
2002,4,4,-0.005291618
2002,4,5,-0.001479094
2002,4,8,-0.002584177
2002,4,9,-0.002285715
2002,4,10,-0.002138058
2002,4,11,0.005336599
2002,4,12,0.004135294
2002,4,15,-0.00402125
2002,4,16,-0.003274447
2002,4,17,-0.002634947
2002,4,18,-0.006675643
2002,4,19,0.004800224
2002,4,22,-0.004376879
2002,4,23,-0.000615835
2002,4,24,-0.000963002
2002,4,25,-0.011589951
2002,4,26,-0.001755995
2002,4,29,0.001833968
2002,4,30,0.001129922
2002,5,1,-0.00738703
2002,5,2,0.003993428
2002,5,3,-0.007727195
2002,5,6,0.003145151
2002,5,7,0.004425739
2002,5,8,0.005067447
2002,5,9,-0.001128207
2002,5,10,-0.005190559
2002,5,13,-0.001292066
2002,5,14,0.008815441
2002,5,15,-0.00697573
2002,5,16,0.001797297
2002,5,17,-0.017802053
2002,5,20,-0.001312206
2002,5,21,-0.012331007
2002,5,22,8.06E-05
2002,5,23,0.007983834
2002,5,24,-0.002360426
2002,5,27,0.000600637
2002,5,28,-0.002926499
2002,5,29,-0.002130097
2002,5,30,-0.009662302
2002,5,31,0.008293431
2002,6,3,-0.002420234
2002,6,4,0.001130172
2002,6,5,0.005752113
2002,6,6,-0.002811586
2002,6,7,0.002330161
2002,6,10,-0.001325115
2002,6,11,0.009358571
2002,6,12,-0.000238873
2002,6,13,-0.004989532
2002,6,14,-0.006503696
2002,6,17,0.002614591
2002,6,18,0.000602398
2002,6,19,-0.005353957
2002,6,20,-0.004003969
2002,6,21,-0.016260521
2002,6,24,-0.000205969
2002,6,25,0.004111341
2002,6,26,-0.022908418
2002,6,27,0.00598516
2002,6,28,0.000333778
2002,7,1,0.001542277
2002,7,2,0.001040734
2002,7,3,-0.002708166
2002,7,4,0.001792377
2002,7,5,0.001123806
2002,7,8,-0.012937441
2002,7,9,-0.004053717
2002,7,10,-0.000973648
2002,7,11,-0.010858795
2002,7,12,-0.000513919
2002,7,15,-0.00692074
2002,7,16,-0.000604073
2002,7,17,0.004306824
2002,7,18,0.004459507
2002,7,19,-0.008162259
2002,7,22,0.005763457
2002,7,23,0.007179211
2002,7,24,-0.010099799
2002,7,25,0.003306498
2002,7,26,0.018350698
2002,7,29,0.009342534
2002,7,30,0.001500063
2002,7,31,-0.002710085
2002,8,1,-0.00208969
2002,8,2,-0.00159109
2002,8,5,-0.001971436
2002,8,6,0.015787719
2002,8,7,-0.004224483
2002,8,8,0.001410145
2002,8,9,-0.004194794
2002,8,12,-0.009912874
2002,8,13,0.001889764
2002,8,14,-0.022015268
2002,8,15,0.008838846
2002,8,16,-0.000297625
2002,8,19,0.00905903
2002,8,20,0.003575564
2002,8,21,-0.004334385
2002,8,22,0.009778285
2002,8,23,-0.001044605
2002,8,26,-4.18E-05
2002,8,27,-0.011859841
2002,8,28,0.001733066
2002,8,29,-0.001733066
2002,8,30,0.00321014
2002,9,2,-0.00384494
2002,9,3,-0.00820391
2002,9,4,0.007229767
2002,9,5,0.002623785
2002,9,6,0.002785517
2002,9,9,0.001978906
2002,9,10,0.007626268
2002,9,11,0.0063664
2002,9,12,-0.001743607
2002,9,13,0.005552347
2002,9,16,0.009499794
2002,9,17,0.002493614
2002,9,18,-0.008075635
2002,9,19,-0.003380749
2002,9,20,0.017927055
2002,9,23,0.004169456
2002,9,24,-0.003399024
2002,9,25,-0.004550079
2002,9,26,-0.002282827
2002,9,27,0.004032181
2002,9,30,-0.01037803
2002,10,1,0.007243295
2002,10,2,0.003906732
2002,10,3,-0.001666633
2002,10,4,0.001544779
2002,10,7,0.009621289
2002,10,8,-4.02E-05
2002,10,9,-0.004435491
2002,10,10,-0.000849017
2002,10,11,0.003593278
2002,10,14,0.000644615
2002,10,15,0.004540805
2002,10,16,-0.003172375
2002,10,17,0.004254301
2002,10,18,0.004276158
2002,10,21,-0.00463667
2002,10,22,0.00228105
2002,10,23,-0.00742245
2002,10,24,0.001850735
2002,10,25,-0.003341859
2002,10,28,-0.002220653
2002,10,29,-0.010115664
2002,10,30,0.00289483
2002,10,31,-0.002445786
2002,11,1,-0.001838273
2002,11,4,0.00179746
2002,11,5,-0.005196943
2002,11,6,0.002213025
2002,11,7,-0.006983555
2002,11,8,-0.011985131
2002,11,11,-0.004013216
2002,11,12,0.002886126
2002,11,13,0.003252578
2002,11,14,0.002577857
2002,11,15,0.000622678
2002,11,18,0.005215244
2002,11,19,0.003914222
2002,11,20,0.007660361
2002,11,21,0.001793942
2002,11,22,-0.000774262
2002,11,25,-0.001672821
2002,11,26,-0.005404755
2002,11,27,0.000246305
2002,11,28,0.002418777
2002,11,29,0.003311194
2002,12,2,0.015670557
2002,12,3,-0.000200904
2002,12,4,0.002688767
2002,12,5,0.003840005
2002,12,6,-0.011645315
2002,12,9,-0.002831373
2002,12,10,0.000890724
2002,12,11,-0.001539023
2002,12,12,-0.001825595
2002,12,13,-0.020967881
2002,12,16,0.00496361
2002,12,17,-0.004424694
2002,12,18,0.003557839
2002,12,19,-0.004138222
2002,12,20,-0.000248839
2002,12,23,-0.002990905
2002,12,24,-0.000332876
2002,12,25,0
2002,12,26,0.000998295
2002,12,27,-0.002205899
2002,12,30,-0.012367834
2002,12,31,0.001222623
2003,1,1,0
2003,1,2,0.009435417
2003,1,3,-0.000125222
2003,1,6,-0.00842578
2003,1,7,0.010843959
2003,1,8,-0.001541956
2003,1,9,-0.003467656
2003,1,10,0.0006694
2003,1,13,-0.004989424
2003,1,14,-0.007806441
2003,1,15,-0.001398928
2003,1,16,0.000254496
2003,1,17,-8.48E-05
2003,1,20,0.002583926
2003,1,21,0.003420828
2003,1,22,-0.001265609
2003,1,23,-0.005715148
2003,1,24,0.001484844
2003,1,27,0.008190538
2003,1,28,-0.002694625
2003,1,29,-0.004436658
2003,1,30,0.009189459
2003,1,31,0.00652449
2003,2,3,0.005819287
2003,2,4,-0.005860975
2003,2,5,-0.000750688
2003,2,6,-0.000500772
2003,2,7,0.002792774
2003,2,10,0.007588517
2003,2,11,0.003093488
2003,2,12,-0.001195014
2003,2,13,-0.004877252
2003,2,14,-0.000663157
2003,2,17,-0.001992115
2003,2,18,-0.010440252
2003,2,19,-0.00302712
2003,2,20,-0.002656268
2003,2,21,0.001940192
2003,2,24,-0.007868394
2003,2,25,-0.003318164
2003,2,26,-0.001833963
2003,2,27,0.004939754
2003,2,28,0.004408094
2003,3,3,-0.002795191
2003,3,4,-0.00055149
2003,3,5,-0.005745063
2003,3,6,0.001236911
2003,3,7,-0.006972246
2003,3,10,0.000943882
2003,3,11,0.002569705
2003,3,12,0.002563118
2003,3,13,0.009257753
2003,3,14,0.002111309
2003,3,17,-0.002153581
2003,3,18,0.004723356
2003,3,19,0.006583799
2003,3,20,0.004545557
2003,3,21,0.010718749
2003,3,24,-0.008432938
2003,3,25,-0.004785395
2003,3,26,0.001708725
2003,3,27,-0.003336812
2003,3,28,0.003669882
2003,3,31,-0.012861779
2003,4,1,-0.002490872
2003,4,2,0.006404606
2003,4,3,0.003772957
2003,4,4,0.004925296
2003,4,7,0.002412045
2003,4,8,-0.002661899
2003,4,9,0.003865743
2003,4,10,-0.009629689
2003,4,11,0.008591978
2003,4,14,-0.00166258
2003,4,15,0.000166382
2003,4,16,0.000873054
2003,4,17,-0.007801295
2003,4,18,0
2003,4,21,0.009835462
2003,4,22,-0.006574044
2003,4,23,0.00541217
2003,4,24,-0.00345208
2003,4,25,0.00345208
2003,4,28,-0.001287937
2003,4,29,-0.001372855
2003,4,30,-0.007060376
2003,5,1,-0.007786398
2003,5,2,0.004679111
2003,5,5,-0.002357896
2003,5,6,-0.005664779
2003,5,7,-0.013788023
2003,5,8,0.002661403
2003,5,9,0.004960455
2003,5,12,-0.003118794
2003,5,13,-0.001970275
2003,5,14,-0.003048717
2003,5,15,-0.002497418
2003,5,16,0.000646482
2003,5,19,0.004599488
2003,5,20,0.002142062
2003,5,21,0.004227794
2003,5,22,0.000170445
2003,5,23,-0.004184285
2003,5,26,0.000213908
2003,5,27,0.00025663
2003,5,28,0.014309312
2003,5,29,-0.001772227
2003,5,30,0.010210387
2003,6,2,-0.009619296
2003,6,3,0.002866056
2003,6,4,-0.000294656
2003,6,5,-0.010197909
2003,6,6,0.010913352
2003,6,9,-0.00594951
2003,6,10,-0.00390112
2003,6,11,0.00029736
2003,6,12,0.000976417
2003,6,13,-0.002464102
2003,6,16,8.51E-05
2003,6,17,0.004879404
2003,6,18,0.003253822
2003,6,19,0.001728245
2003,6,20,-0.002445711
